"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.02G035500.Wm82.a2.v1",9,8,2,13,15,10
"Glyma.19G135700.Wm82.a2.v1",3,2,3,5,5,1
"Glyma.14G000300.Wm82.a2.v1",168,146,135,105,115,89
"Glyma.02G283100.Wm82.a2.v1",2,10,4,7,6,5
"Glyma.10G162000.Wm82.a2.v1",500,606,366,518,702,514
"Glyma.09G275400.Wm82.a2.v1",1,0,1,0,0,0
"Glyma.08G162000.Wm82.a2.v1",139,118,101,235,302,194
"Glyma.20G215600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G160100.Wm82.a2.v1",333,381,299,140,144,221
"Glyma.17G054400.Wm82.a2.v1",98,107,92,183,227,138
"Glyma.02G135800.Wm82.a2.v1",132,100,99,161,143,95
"Glyma.08G302500.Wm82.a2.v1",90,97,56,80,118,86
"Glyma.03G228700.Wm82.a2.v1",16,23,11,8,20,14
"Glyma.04G254500.Wm82.a2.v1",4,2,2,8,7,7
"Glyma.17G209600.Wm82.a2.v1",116,122,97,86,86,102
"Glyma.15G032400.Wm82.a2.v1",17,16,12,5,3,6
"Glyma.06G159800.Wm82.a2.v1",186,168,161,117,137,120
"Glyma.10G174700.Wm82.a2.v1",112,106,95,58,85,79
"Glyma.02G217500.Wm82.a2.v1",29,9,10,7,3,4
"Glyma.08G042600.Wm82.a2.v1",42,26,35,29,18,19
"Glyma.20G092400.Wm82.a2.v1",86,67,69,47,55,42
"Glyma.13G099000.Wm82.a2.v1",147,149,120,38,33,28
"Glyma.13G321300.Wm82.a2.v1",153,174,123,139,133,163
"Glyma.07G086100.Wm82.a2.v1",7,3,3,3,5,6
"Glyma.08G331100.Wm82.a2.v1",8,12,12,16,28,13
"Glyma.20G241600.Wm82.a2.v1",26,22,8,42,48,33
"Glyma.18G022400.Wm82.a2.v1",48,56,58,27,29,37
"Glyma.20G004400.Wm82.a2.v1",32,34,21,28,34,36
"Glyma.17G046600.Wm82.a2.v1",1217,1423,969,1241,1097,884
"Glyma.U036100.Wm82.a2.v1",24,26,22,3,7,10
"Glyma.06G163200.Wm82.a2.v1",11,11,10,16,13,20
"Glyma.15G266600.Wm82.a2.v1",95,116,92,139,152,127
"Glyma.20G186500.Wm82.a2.v1",80,53,31,57,26,25
"Glyma.06G306400.Wm82.a2.v1",451,437,319,270,276,244
"Glyma.08G295400.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.17G045000.Wm82.a2.v1",12,13,15,21,53,18
"Glyma.02G184200.Wm82.a2.v1",7,8,5,5,6,6
"Glyma.08G096700.Wm82.a2.v1",10,9,12,13,17,12
"Glyma.09G168200.Wm82.a2.v1",1,0,0,0,3,2
"Glyma.04G050200.Wm82.a2.v1",197,187,216,157,196,188
"Glyma.12G103500.Wm82.a2.v1",0,3,0,0,0,0
"Glyma.20G095600.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.20G203300.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.04G160000.Wm82.a2.v1",0,2,0,0,0,0
"Glyma.11G137000.Wm82.a2.v1",203,215,174,206,192,151
"Glyma.08G211200.Wm82.a2.v1",312,336,232,396,472,273
"Glyma.14G011000.Wm82.a2.v1",65,63,47,27,34,27
"Glyma.06G170600.Wm82.a2.v1",44,53,41,32,30,40
"Glyma.10G029800.Wm82.a2.v1",121,94,78,91,106,91
"Glyma.04G134000.Wm82.a2.v1",19,32,16,21,27,34
"Glyma.08G126800.Wm82.a2.v1",4338,7282,6296,6380,5224,3435
"Glyma.15G060400.Wm82.a2.v1",30,37,10,3,6,8
"Glyma.10G123700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G109700.Wm82.a2.v1",43,50,33,31,34,59
"Glyma.16G112100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G032300.Wm82.a2.v1",68,83,48,52,62,48
"Glyma.20G154600.Wm82.a2.v1",0,2,0,0,1,0
"Glyma.06G246000.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.17G242200.Wm82.a2.v1",325,236,149,78,82,114
"Glyma.02G212300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G194200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G044100.Wm82.a2.v1",3,4,3,2,0,1
"Glyma.03G049600.Wm82.a2.v1",67,66,68,40,46,43
"Glyma.07G200600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G183500.Wm82.a2.v1",46,69,76,77,100,58
"Glyma.06G212200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G128900.Wm82.a2.v1",15,17,6,11,8,4
"Glyma.17G179400.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.02G150500.Wm82.a2.v1",126,123,81,35,39,40
"Glyma.14G157600.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.14G135500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G285800.Wm82.a2.v1",191,191,165,148,167,119
"Glyma.U037500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G247100.Wm82.a2.v1",11,9,4,19,34,18
"Glyma.19G124600.Wm82.a2.v1",56,93,74,3,16,10
"Glyma.05G202800.Wm82.a2.v1",202,194,159,97,121,102
"Glyma.05G154600.Wm82.a2.v1",285,342,288,73,85,130
"Glyma.09G041900.Wm82.a2.v1",9,5,6,14,24,13
"Glyma.07G201500.Wm82.a2.v1",1,0,2,0,1,0
"Glyma.18G072000.Wm82.a2.v1",0,1,1,2,0,0
"Glyma.04G163500.Wm82.a2.v1",0,0,0,0,2,0
"Glyma.10G162200.Wm82.a2.v1",251,247,202,261,191,179
